Probe Set ID	Gene Symbol	Gene Title	Gene ID
ENSMUSG00000031441	ATP11A	ATPase phospholipid transporting 11A	23250
ENSMUSG00000031179	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000028445	ENHO	energy homeostasis associated	375704
ENSMUSG00000030004	NAT8	N-acetyltransferase 8 (putative)	9027
ENSMUSG00000032579	HEMK1	HemK methyltransferase family member 1	51409
ENSMUSG00000032511	SCN5A	sodium voltage-gated channel alpha subunit 5	6331
ENSMUSG00000031093	DOCK11	dedicator of cytokinesis 11	139818
ENSMUSG00000028578	CAAP1	caspase activity and apoptosis inhibitor 1	79886
ENSMUSG00000028465	TLN1	talin 1	7094
ENSMUSG00000029166	MAPRE3	microtubule associated protein RP/EB family member 3	22924
ENSMUSG00000029168	DPYSL5	dihydropyrimidinase like 5	56896
ENSMUSG00000028347	MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough	na
ENSMUSG00000032388	SPG21	SPG21, maspardin	51324
ENSMUSG00000091987	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000076674	IGHV4OR15-8	immunoglobulin heavy variable 4/OR15-8 (non-functional)	na
ENSMUSG00000071551	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000103939	IGHV4OR15-8	immunoglobulin heavy variable 4/OR15-8 (non-functional)	na
ENSMUSG00000096520	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000034021	PDS5B	PDS5 cohesin associated factor B	23047
ENSMUSG00000079350	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000076670	IGHV4OR15-8	immunoglobulin heavy variable 4/OR15-8 (non-functional)	na
ENSMUSG00000045319	PROSER2	proline and serine rich 2	254427
ENSMUSG00000064341	MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	4535
ENSMUSG00000047216	CDH19	cadherin 19	28513
ENSMUSG00000079349	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000064358	MT-CO3	mitochondrially encoded cytochrome c oxidase III	4514
ENSMUSG00000064345	MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	4536
ENSMUSG00000033096	APMAP	adipocyte plasma membrane associated protein	57136
ENSMUSG00000079495	NAT8	N-acetyltransferase 8 (putative)	9027
ENSMUSG00000064080	FBLN2	fibulin 2	2199
ENSMUSG00000044583	TLR7	toll like receptor 7	51284
ENSMUSG00000093987	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000042808	GPX2	glutathione peroxidase 2	2877
ENSMUSG00000033808	TMEM87A	transmembrane protein 87A	25963
ENSMUSG00000051503	CCDC121	coiled-coil domain containing 121	79635
ENSMUSG00000039047	PIGK	phosphatidylinositol glycan anchor biosynthesis class K	10026
ENSMUSG00000049233	APOO	apolipoprotein O	79135
ENSMUSG00000041468	GPR12	G protein-coupled receptor 12	2835
ENSMUSG00000053198	PRX	periaxin	57716
ENSMUSG00000042595	FAM199X	family with sequence similarity 199, X-linked	139231
ENSMUSG00000095948	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000064367	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	4540
ENSMUSG00000049988	LRRC25	leucine rich repeat containing 25	126364
ENSMUSG00000064363	MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	4538
ENSMUSG00000068299	NAT8	N-acetyltransferase 8 (putative)	9027
ENSMUSG00000033373	FNTB	farnesyltransferase, CAAX box, beta	2342
ENSMUSG00000035478	MBD3	methyl-CpG binding domain protein 3	53615
ENSMUSG00000053134	SUPT7L	SPT7 like, STAGA complex gamma subunit	9913
ENSMUSG00000038121	FAM210A	family with sequence similarity 210 member A	125228
ENSMUSG00000051262	NAT8	N-acetyltransferase 8 (putative)	9027
ENSMUSG00000039278	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	27344
ENSMUSG00000072722	CCDC121	coiled-coil domain containing 121	79635
ENSMUSG00000051490	FOXD4L6	forkhead box D4-like 6	653404
ENSMUSG00000057103	NAT8	N-acetyltransferase 8 (putative)	9027
ENSMUSG00000052595	A1CF	APOBEC1 complementation factor	29974
ENSMUSG00000064037	GPN1	GPN-loop GTPase 1	11321
ENSMUSG00000045912	C2CD4C	C2 calcium dependent domain containing 4C	126567
ENSMUSG00000050335	LGALS3	galectin 3	3958
ENSMUSG00000064357	MT-ATP6	mitochondrially encoded ATP synthase 6	4508
ENSMUSG00000048696	MEX3D	mex-3 RNA binding family member D	399664
ENSMUSG00000051256	JAGN1	jagunal homolog 1	84522
ENSMUSG00000033715	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000094511	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000050050	CCDC158	coiled-coil domain containing 158	339965
ENSMUSG00000095567	NOC2L	NOC2 like nucleolar associated transcriptional repressor	26155
ENSMUSG00000043635	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	9508
ENSMUSG00000033343	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000076676	IGHV4OR15-8	immunoglobulin heavy variable 4/OR15-8 (non-functional)	na
ENSMUSG00000094196	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000072714	RPL21	ribosomal protein L21	6144
ENSMUSG00000064351	MT-CO1	mitochondrially encoded cytochrome c oxidase I	4512
ENSMUSG00000061477	RPS7	ribosomal protein S7	6201
ENSMUSG00000040522	TLR8	toll like receptor 8	51311
ENSMUSG00000039063	ECHDC3	enoyl-CoA hydratase domain containing 3	79746
ENSMUSG00000058488	KL	klotho	9365
ENSMUSG00000094658	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000064356	MT-ATP8	mitochondrially encoded ATP synthase 8	4509
ENSMUSG00000033634	NAT8	N-acetyltransferase 8 (putative)	9027
ENSMUSG00000102053	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000093918	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000044734	SERPINB1	serpin family B member 1	1992
ENSMUSG00000043453	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000079508	APOO	apolipoprotein O	79135
ENSMUSG00000051029	SERPINB1	serpin family B member 1	1992
ENSMUSG00000043088	IL17RE	interleukin 17 receptor E	132014
ENSMUSG00000096644	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000064360	MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	4537
ENSMUSG00000037016	FREM2	FRAS1 related extracellular matrix protein 2	341640
ENSMUSG00000054000	TUSC1	tumor suppressor candidate 1	286319
ENSMUSG00000068015	LRCH1	leucine rich repeats and calponin homology domain containing 1	23143
ENSMUSG00000038080	KDM1B	lysine demethylase 1B	221656
ENSMUSG00000093838	IGHV4OR15-8	immunoglobulin heavy variable 4/OR15-8 (non-functional)	na
ENSMUSG00000050625	CCDC121	coiled-coil domain containing 121	79635
ENSMUSG00000101667	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000052738	SUCLG1	succinate-CoA ligase alpha subunit	8802
ENSMUSG00000063728	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000039693	MSANTD3	Myb/SANT DNA binding domain containing 3	91283
ENSMUSG00000037197	RBM17	RNA binding motif protein 17	84991
ENSMUSG00000073423	ZNF414	zinc finger protein 414	84330
ENSMUSG00000064368	MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	4541
ENSMUSG00000055746	MAGEA9B	MAGE family member A9B	728269
ENSMUSG00000041453	RPL21	ribosomal protein L21	6144
ENSMUSG00000079049	SERPINB1	serpin family B member 1	1992
ENSMUSG00000057751	MEGF6	multiple EGF like domains 6	1953
ENSMUSG00000034673	PBX2	PBX homeobox 2	5089
ENSMUSG00000040952	RPS19	ribosomal protein S19	6223
ENSMUSG00000089694	NAT8	N-acetyltransferase 8 (putative)	9027
ENSMUSG00000065947	MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	4539
ENSMUSG00000054757	AKR1C1	aldo-keto reductase family 1 member C1	1645
ENSMUSG00000096449	MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	4540
ENSMUSG00000095852	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	5940
ENSMUSG00000064370	MT-CYB	mitochondrially encoded cytochrome b	4519
ENSMUSG00000096351	SAMD11	sterile alpha motif domain containing 11	148398
ENSMUSG00000079494	NAT8	N-acetyltransferase 8 (putative)	9027
ENSMUSG00000062761	ZNF512	zinc finger protein 512	84450
ENSMUSG00000073375	LRRC30	leucine rich repeat containing 30	339291
ENSMUSG00000039046	USP6NL	USP6 N-terminal like	9712
ENSMUSG00000076672	IGHV4OR15-8	immunoglobulin heavy variable 4/OR15-8 (non-functional)	na
ENSMUSG00000064354	MT-CO2	mitochondrially encoded cytochrome c oxidase II	4513
ENSMUSG00000090258	CHURC1	churchill domain containing 1	91612
ENSMUSG00000045404	KCNK13	potassium two pore domain channel subfamily K member 13	56659
ENSMUSG00000038702	DSEL	dermatan sulfate epimerase-like	92126
ENSMUSG00000047989	INO80C	INO80 complex subunit C	125476
ENSMUSG00000059436	MAX	MYC associated factor X	4149
ENSMUSG00000034160	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	8473
ENSMUSG00000067714	LPAR5	lysophosphatidic acid receptor 5	57121
ENSMUSG00000038637	LRRC56	leucine rich repeat containing 56	115399
ENSMUSG00000004613	LIM2	lens intrinsic membrane protein 2	3982
ENSMUSG00000021996	ESD	esterase D	2098
ENSMUSG00000028194	DDAH1	dimethylarginine dimethylaminohydrolase 1	23576
ENSMUSG00000061461	SMIM20	small integral membrane protein 20	389203
ENSMUSG00000017418	ARL5B	ADP ribosylation factor like GTPase 5B	221079
ENSMUSG00000040717	IL17RD	interleukin 17 receptor D	54756
ENSMUSG00000032594	IP6K1	inositol hexakisphosphate kinase 1	9807
ENSMUSG00000004612	NKG7	natural killer cell granule protein 7	4818
ENSMUSG00000042408	ZMYM6	zinc finger MYM-type containing 6	9204
ENSMUSG00000017417	PLXDC1	plexin domain containing 1	57125
ENSMUSG00000030230	PLCZ1	phospholipase C zeta 1	89869
ENSMUSG00000047502	MROH7-TTC4	MROH7-TTC4 readthrough (NMD candidate)	na
ENSMUSG00000055184	FAM72C	family with sequence similarity 72 member C	554282
ENSMUSG00000027744	STOML3	stomatin like 3	161003
ENSMUSG00000009070	RSPH14	radial spoke head 14 homolog	27156
ENSMUSG00000035296	SGCG	sarcoglycan gamma	6445
ENSMUSG00000043251	EXOC3L1	exocyst complex component 3 like 1	283849
ENSMUSG00000024400	WDR33	WD repeat domain 33	55339
ENSMUSG00000031519	ASB5	ankyrin repeat and SOCS box containing 5	140458
ENSMUSG00000003379	CD79A	CD79a molecule	973
ENSMUSG00000016427	NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	4694
ENSMUSG00000029066	MRPL20	mitochondrial ribosomal protein L20	55052
ENSMUSG00000042659	ARRDC4	arrestin domain containing 4	91947
ENSMUSG00000038170	PDE4DIP	phosphodiesterase 4D interacting protein	9659
ENSMUSG00000014498	ANKRD52	ankyrin repeat domain 52	283373
ENSMUSG00000031157	PQBP1	polyglutamine binding protein 1	10084
ENSMUSG00000069830	NLRP1	NLR family pyrin domain containing 1	22861
ENSMUSG00000045827	SERPINB9	serpin family B member 9	5272
ENSMUSG00000055485	SOGA1	suppressor of glucose, autophagy associated 1	140710
ENSMUSG00000036655	COLEC11	collectin subfamily member 11	78989
ENSMUSG00000024246	THUMPD2	THUMP domain containing 2	80745
ENSMUSG00000070369	ITGAD	integrin subunit alpha D	3681
ENSMUSG00000070390	NLRP1	NLR family pyrin domain containing 1	22861
ENSMUSG00000022715	TMEM114	transmembrane protein 114	283953
ENSMUSG00000005069	PEX5	peroxisomal biogenesis factor 5	5830
ENSMUSG00000044982	SFT2D3	SFT2 domain containing 3	84826
ENSMUSG00000042265	TREM1	triggering receptor expressed on myeloid cells 1	54210
ENSMUSG00000001741	IL16	interleukin 16	3603
ENSMUSG00000057337	CHST3	carbohydrate sulfotransferase 3	9469
ENSMUSG00000053175	BCL3	B-cell CLL/lymphoma 3	602
ENSMUSG00000038264	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	8482
ENSMUSG00000018920	CXCL16	C-X-C motif chemokine ligand 16	58191
ENSMUSG00000058297	SPOCK2	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 2	9806
ENSMUSG00000037259	DZANK1	double zinc ribbon and ankyrin repeat domains 1	55184
ENSMUSG00000038327	SERPINB9	serpin family B member 9	5272
ENSMUSG00000054169	PSG1	pregnancy specific beta-1-glycoprotein 1	5669
ENSMUSG00000070417	OR6A2	olfactory receptor family 6 subfamily A member 2	8590
ENSMUSG00000067702	TUBA3D	tubulin alpha 3d	113457
ENSMUSG00000046027	STARD5	StAR related lipid transfer domain containing 5	80765
ENSMUSG00000037966	NINJ1	ninjurin 1	4814
ENSMUSG00000030707	CORO1A	coronin 1A	11151
ENSMUSG00000023927	SATB1	SATB homeobox 1	6304
ENSMUSG00000021403	SERPINB9	serpin family B member 9	5272
ENSMUSG00000027639	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1	25939
ENSMUSG00000042548	ASXL1	additional sex combs like 1, transcriptional regulator	171023
ENSMUSG00000054203	IFI16	interferon gamma inducible protein 16	3428
ENSMUSG00000054385	PSG1	pregnancy specific beta-1-glycoprotein 1	5669
ENSMUSG00000023443	ESX1	ESX homeobox 1	80712
ENSMUSG00000040690	COL16A1	collagen type XVI alpha 1 chain	1307
ENSMUSG00000037686	ASPG	asparaginase	374569
ENSMUSG00000053004	HRH1	histamine receptor H1	3269
ENSMUSG00000050520	CLDN8	claudin 8	9073
ENSMUSG00000054266	SERPINB9	serpin family B member 9	5272
ENSMUSG00000042672	DCST1	DC-STAMP domain containing 1	149095
ENSMUSG00000014704	HOXA2	homeobox A2	3199
ENSMUSG00000038618	RASSF7	Ras association domain family member 7	8045
ENSMUSG00000070003	SSBP4	single stranded DNA binding protein 4	170463
ENSMUSG00000031158	TIMM17B	translocase of inner mitochondrial membrane 17B	10245
ENSMUSG00000026867	GAPVD1	GTPase activating protein and VPS9 domains 1	26130
ENSMUSG00000023923	TBC1D5	TBC1 domain family member 5	9779
ENSMUSG00000026773	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	5209
ENSMUSG00000007034	SLC44A4	solute carrier family 44 member 4	80736
ENSMUSG00000024921	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	6595
ENSMUSG00000026989	DAPL1	death associated protein like 1	92196
ENSMUSG00000054408	SPCS3	signal peptidase complex subunit 3	60559
ENSMUSG00000024642	TLE4	transducin like enhancer of split 4	7091
ENSMUSG00000028191	BCL10	B-cell CLL/lymphoma 10	8915
ENSMUSG00000001281	ITGB7	integrin subunit beta 7	3695
ENSMUSG00000026959	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	2902
ENSMUSG00000068874	SELENBP1	selenium binding protein 1	8991
ENSMUSG00000034868	MYL12B	myosin light chain 12B	103910
ENSMUSG00000063894	ZKSCAN8	zinc finger with KRAB and SCAN domains 8	7745
ENSMUSG00000049674	OR10A2	olfactory receptor family 10 subfamily A member 2	341276
ENSMUSG00000062987	OR2D2	olfactory receptor family 2 subfamily D member 2	120776
ENSMUSG00000025499	HRAS	HRas proto-oncogene, GTPase	3265
ENSMUSG00000042116	VWA1	von Willebrand factor A domain containing 1	64856
ENSMUSG00000037977	C3orf18	chromosome 3 open reading frame 18	51161
ENSMUSG00000042388	DLGAP3	DLG associated protein 3	58512
ENSMUSG00000040009	GNAZ	G protein subunit alpha z	2781
ENSMUSG00000054226	TPRKB	TP53RK binding protein	51002
ENSMUSG00000027452	ACSS1	acyl-CoA synthetase short-chain family member 1	84532
ENSMUSG00000030352	TSPAN9	tetraspanin 9	10867
ENSMUSG00000023044	CSAD	cysteine sulfinic acid decarboxylase	51380
ENSMUSG00000020175	RAB36	RAB36, member RAS oncogene family	9609
ENSMUSG00000001052	SEC24B	SEC24 homolog B, COPII coat complex component	10427
ENSMUSG00000020978	KLHDC2	kelch domain containing 2	23588
ENSMUSG00000020640	ITSN2	intersectin 2	50618
ENSMUSG00000062646	GANC	glucosidase alpha, neutral C	2595
ENSMUSG00000037544	DLGAP5	DLG associated protein 5	9787
ENSMUSG00000021404	SERPINB9	serpin family B member 9	5272
ENSMUSG00000019139	ISYNA1	inositol-3-phosphate synthase 1	51477
ENSMUSG00000049744	ARHGAP15	Rho GTPase activating protein 15	55843
ENSMUSG00000020982	NEMF	nuclear export mediator factor	9147
ENSMUSG00000060503	OR2D2	olfactory receptor family 2 subfamily D member 2	120776
ENSMUSG00000022671	MZT2A	mitotic spindle organizing protein 2A	653784
ENSMUSG00000027981	RNPC3	RNA binding region (RNP1, RRM) containing 3	55599
ENSMUSG00000041229	PHF8	PHD finger protein 8	23133
ENSMUSG00000035963	ODF3L2	outer dense fiber of sperm tails 3 like 2	284451
ENSMUSG00000037706	CD81	CD81 molecule	975
ENSMUSG00000062342	SERPINB9	serpin family B member 9	5272
ENSMUSG00000055978	FUT2	fucosyltransferase 2	2524
ENSMUSG00000039234	SEC24D	SEC24 homolog D, COPII coat complex component	9871
ENSMUSG00000021714	CENPK	centromere protein K	64105
ENSMUSG00000056900	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	8975
ENSMUSG00000039342	ANKAR	ankyrin and armadillo repeat containing	150709
ENSMUSG00000036537	RNF113A	ring finger protein 113A	7737
ENSMUSG00000029189	SEL1L3	SEL1L family member 3	23231
ENSMUSG00000052997	UBA2	ubiquitin like modifier activating enzyme 2	10054
ENSMUSG00000020576	NBAS	neuroblastoma amplified sequence	51594
ENSMUSG00000026172	BCS1L	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone	617
ENSMUSG00000025500	LMNTD2	lamin tail domain containing 2	256329
ENSMUSG00000018923	MED11	mediator complex subunit 11	400569
ENSMUSG00000000148	BRAT1	BRCA1 associated ATM activator 1	221927
ENSMUSG00000055811	CLDN17	claudin 17	26285
ENSMUSG00000046519	GOLPH3L	golgi phosphoprotein 3 like	55204
ENSMUSG00000028041	ADAM15	ADAM metallopeptidase domain 15	8751
ENSMUSG00000024186	RGS11	regulator of G protein signaling 11	8786
ENSMUSG00000039878	SLC39A5	solute carrier family 39 member 5	283375
ENSMUSG00000068877	SELENBP1	selenium binding protein 1	8991
ENSMUSG00000024187	FAM234A	family with sequence similarity 234 member A	83986
ENSMUSG00000027273	SNAP25	synaptosome associated protein 25	6616
ENSMUSG00000017677	WSB1	WD repeat and SOCS box containing 1	26118
ENSMUSG00000067338	TUBA3D	tubulin alpha 3d	113457
ENSMUSG00000028391	WDR31	WD repeat domain 31	114987
ENSMUSG00000063851	RNF183	ring finger protein 183	138065
ENSMUSG00000026536	IFI16	interferon gamma inducible protein 16	3428
ENSMUSG00000023350	PHF8	PHD finger protein 8	23133
ENSMUSG00000003228	GRK5	G protein-coupled receptor kinase 5	2869
ENSMUSG00000027457	SNPH	syntaphilin	9751
ENSMUSG00000033885	PXK	PX domain containing serine/threonine kinase like	54899
ENSMUSG00000049878	RLF	rearranged L-myc fusion	6018
ENSMUSG00000022235	CMBL	carboxymethylenebutenolidase homolog	134147
ENSMUSG00000020312	SHC2	SHC adaptor protein 2	25759
ENSMUSG00000070737	TMEM35B	transmembrane protein 35B	100506144
ENSMUSG00000073139	TMEM185A	transmembrane protein 185A	84548
ENSMUSG00000079110	CAPN3	calpain 3	825
ENSMUSG00000098134	RNF113A	ring finger protein 113A	7737
ENSMUSG00000075520	MALRD1	MAM and LDL receptor class A domain containing 1	340895
ENSMUSG00000073898	OR10A2	olfactory receptor family 10 subfamily A member 2	341276
ENSMUSG00000074628	TLDC2	TBC/LysM-associated domain containing 2	140711
ENSMUSG00000098132	RASSF10	Ras association domain family member 10	644943
ENSMUSG00000073896	OR2D3	olfactory receptor family 2 subfamily D member 3	120775
ENSMUSG00000090272	IFI16	interferon gamma inducible protein 16	3428
ENSMUSG00000073489	IFI16	interferon gamma inducible protein 16	3428
ENSMUSG00000078487	ANKRD65	ankyrin repeat domain 65	441869
ENSMUSG00000105547	IGLC7	immunoglobulin lambda constant 7	na
ENSMUSG00000105906	IGLC7	immunoglobulin lambda constant 7	na
ENSMUSG00000085139	LINC00890	long intergenic non-protein coding RNA 890	na
ENSMUSG00000074704	RAD21L1	RAD21 cohesin complex component like 1	642636
ENSMUSG00000096257	CCER2	coiled-coil glutamate rich protein 2	643669
ENSMUSG00000074771	ANKEF1	ankyrin repeat and EF-hand domain containing 1	63926
ENSMUSG00000075370	IGLC7	immunoglobulin lambda constant 7	na
ENSMUSG00000076937	IGLC7	immunoglobulin lambda constant 7	na
ENSMUSG00000073680	TMEM88B	transmembrane protein 88B	643965
ENSMUSG00000074272	PSG1	pregnancy specific beta-1-glycoprotein 1	5669
ENSMUSG00000073433	ARHGDIG	Rho GDP dissociation inhibitor gamma	398
ENSMUSG00000072770	ACRBP	acrosin binding protein	84519
ENSMUSG00000071452	SERPINB9	serpin family B member 9	5272
ENSMUSG00000106039	IGLC7	immunoglobulin lambda constant 7	na
ENSMUSG00000073897	OR10A4	olfactory receptor family 10 subfamily A member 4	283297
ENSMUSG00000095127	AC245369.4	Immunoglobulin heavy variable 1-69-2 	na
ENSMUSG00000037242	CLIC4	chloride intracellular channel 4	25932
ENSMUSG00000035783	ACTA2	actin, alpha 2, smooth muscle, aorta	59
ENSMUSG00000096074	AC245369.4	Immunoglobulin heavy variable 1-69-2 	na
ENSMUSG00000062054	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog	285148
ENSMUSG00000052310	SLC39A1	solute carrier family 39 member 1	27173
ENSMUSG00000096672	AC245369.4	Immunoglobulin heavy variable 1-69-2 	na
ENSMUSG00000055200	SERTAD3	SERTA domain containing 3	29946
ENSMUSG00000022098	BMP1	bone morphogenetic protein 1	649
ENSMUSG00000076668	IGHV3-49	immunoglobulin heavy variable 3-49	na
ENSMUSG00000027224	DUOXA1	dual oxidase maturation factor 1	90527
ENSMUSG00000024867	PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase type 1 beta	8395
ENSMUSG00000094787	AC245369.4	Immunoglobulin heavy variable 1-69-2 	na
ENSMUSG00000027641	RBL1	RB transcriptional corepressor like 1	5933
ENSMUSG00000076733	AC245369.1		na
ENSMUSG00000043257	PIGV	phosphatidylinositol glycan anchor biosynthesis class V	55650
ENSMUSG00000020745	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	5048
ENSMUSG00000028576	IFT74	intraflagellar transport 74	80173
ENSMUSG00000028138	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide	128
ENSMUSG00000055298	CTSL	cathepsin L	1514
ENSMUSG00000022680	PDXDC1	pyridoxal dependent decarboxylase domain containing 1	23042
ENSMUSG00000013787	EHMT2	euchromatic histone lysine methyltransferase 2	10919
